Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
sleuth_case2002,RotBoost,7,"{'adaboost_base_estimator__max_depth': 1, 'adaboost_learning_rate': 0.7674177425004371, 'n_estimators': 9, 'n_estimators_of_adaboost': 4, 'n_features_per_subset': 3}",0.666666667,0.678571429,0.321428571,0.7,0.758928571,0.77689498,0.119001627,0.780325947
sleuth_case2002,RotBoost,8,"{'adaboost_base_estimator__max_depth': 1, 'adaboost_learning_rate': 0.6542475954967704, 'n_estimators': 8, 'n_estimators_of_adaboost': 5, 'n_features_per_subset': 5}",0.571428571,0.571428571,0.428571429,0.606060606,0.571428571,0.524092971,0.114999294,0.774480346
sleuth_case2002,RotBoost,9,"{'adaboost_base_estimator__max_depth': 1, 'adaboost_learning_rate': 0.1316437242414539, 'n_estimators': 4, 'n_estimators_of_adaboost': 5, 'n_features_per_subset': 5}",0.714285714,0.714285714,0.285714286,0.818181818,0.734693878,0.854395604,0.109004259,0.789323247
sleuth_case2002,RotBoost,10,"{'adaboost_base_estimator__max_depth': 1, 'adaboost_learning_rate': 0.17759009777328452, 'n_estimators': 5, 'n_estimators_of_adaboost': 4, 'n_features_per_subset': 6}",0.571428571,0.625,0.375,0.75,0.520833333,0.670684524,0.112998962,0.781962746
socmob,RotationForest,1,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 44, 'n_features_per_subset': 6}",0.939655172,0.906410256,0.093589744,0.918021978,0.994871795,0.998558404,0.540395737,0.11804003
socmob,RotationForest,2,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 83, 'n_features_per_subset': 5}",0.956896552,0.903846154,0.096153846,0.973684211,0.991452991,0.997480975,0.967018366,0.118626988
socmob,RotationForest,3,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 85, 'n_features_per_subset': 5}",0.99137931,0.980769231,0.019230769,0.994505495,1,1,0.959013224,0.126951521
socmob,RotationForest,4,"{'max_depth': 127, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 36, 'n_features_per_subset': 6}",0.931034483,0.900854701,0.099145299,0.900854701,0.966239316,0.989724665,0.432008982,0.116867951
socmob,RotationForest,5,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 16, 'n_features_per_subset': 3}",0.931034483,0.955555556,0.044444444,0.882352941,0.994444444,0.998389768,0.327006102,0.119421631
socmob,RotationForest,6,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 62, 'n_features_per_subset': 5}",0.922413793,0.867948718,0.132051282,0.902524544,0.982905983,0.995206694,0.764008284,0.117910054
socmob,RotationForest,7,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 41, 'n_features_per_subset': 6}",0.930434783,0.897777778,0.102222222,0.897777778,0.972222222,0.992068652,0.454006195,0.118626195
socmob,RotationForest,8,"{'max_depth': 27, 'min_samples_leaf': 5, 'min_samples_split': 9, 'n_estimators': 70, 'n_features_per_subset': 6}",0.965217391,0.92,0.08,0.978723404,0.990222222,0.997170476,0.774009943,0.119154862
socmob,RotationForest,9,"{'max_depth': 157, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 85, 'n_features_per_subset': 6}",0.939130435,0.888888889,0.111111111,0.927663734,0.980888889,0.99510649,0.876017094,0.117648323
socmob,RotationForest,10,"{'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 26, 'n_features_per_subset': 5}",0.930434783,0.883333333,0.116666667,0.907608696,0.969333333,0.991288703,0.332004309,0.117912971
socmob,RotBoost,1,"{'adaboost_base_estimator__max_depth': 9, 'adaboost_learning_rate': 0.6752709902424049, 'n_estimators': 9, 'n_estimators_of_adaboost': 10, 'n_features_per_subset': 6}",0.965517241,0.923076923,0.076923077,0.978723404,0.993162393,0.998030004,0.641008615,0.114700842
socmob,RotBoost,2,"{'adaboost_base_estimator__max_depth': 9, 'adaboost_learning_rate': 0.7080532730578503, 'n_estimators': 6, 'n_estimators_of_adaboost': 1, 'n_features_per_subset': 5}",0.974137931,0.942307692,0.057692308,0.983870968,0.958119658,0.987274438,0.118007183,0.114192719
socmob,RotBoost,3,"{'adaboost_base_estimator__max_depth': 9, 'adaboost_learning_rate': 0.9889203557380399, 'n_estimators': 9, 'n_estimators_of_adaboost': 3, 'n_features_per_subset': 5}",0.982758621,0.961538462,0.038461538,0.989130435,1,1,0.32100606,0.114699249
socmob,RotBoost,4,"{'adaboost_base_estimator__max_depth': 6, 'adaboost_learning_rate': 0.9978720327843152, 'n_estimators': 10, 'n_estimators_of_adaboost': 9, 'n_features_per_subset': 5}",0.922413793,0.867948718,0.132051282,0.902524544,0.976495726,0.993218064,0.536009789,0.114667245
